ID,composition,pressure,Lambda,omlog,a,b,c,alpha,beta,gamma,nat,ntypat,species,xred,ref
0,Ac3H10,150.0,0.39,803.6,8.66147198439326,8.661471984393263,2.864006054020357,90.0,90.0,160.85743087393587,13.0,2.0,"[""Ac"", "" Ac"", "" Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.0], [0.8263502345170295, 0.1736497654829705, 0.5], [0.1736497654829705, 0.8263502345170295, 0.5], [0.3705680855093263, 0.6294319144906737, 0.0], [0.6294319144906737, 0.3705680855093263, 0.0], [0.0884413163853424, 0.9115586836146576, 0.0], [0.9115586836146576, 0.0884413163853424, 0.0], [0.2717234165149094, 0.7282765834850906, 0.0], [0.7282765834850906, 0.2717234165149094, 0.0], [0.5887818880174862, 0.4112181119825138, 0.5], [0.4112181119825138, 0.5887818880174862, 0.5], [0.0495280757903771, 0.9504719242096229, 0.5], [0.9504719242096229, 0.0495280757903771, 0.5]]",[10.1021/acs.jpclett.8b00615]
1,Ac1H10,200.0,3.46,710.9,3.4974734457431875,3.4974734457431875,3.497418002321489,63.65812902614544,63.65812902614544,63.65802732568162,11.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, 0.0, 0.0], [0.1124069458353674, 0.604417042857996, 0.6044170412052807], [0.8875930541646326, 0.395582957142004, 0.3955829587947193], [0.6044170428927629, 0.6044170428927629, 0.1124069436747703], [0.3955829571072371, 0.3955829571072371, 0.8875930563252297], [0.604417042857996, 0.1124069458353674, 0.6044170412052807], [0.395582957142004, 0.8875930541646326, 0.3955829587947193], [0.5936921370552213, 0.5936921370552213, 0.593692130856148], [0.4063078629447787, 0.4063078629447787, 0.406307869143852], [0.752349626694155, 0.752349626694155, 0.7523496256216191], [0.2476503733058451, 0.2476503733058451, 0.2476503743783809]]",[10.1021/acs.jpclett.8b00615]
2,Ac1H10,250.0,1.96,812.8,3.40397777970532,3.40397777970532,3.4039425332667705,64.1108338737609,64.11083387376102,64.11061526417919,11.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, 0.0, 0.0], [0.1133446215201701, 0.605278525954084, 0.605284457139426], [0.8866553784798299, 0.394721474045916, 0.394715542860574], [0.6052774855405616, 0.6052774855405616, 0.1133508481854122], [0.3947225144594384, 0.3947225144594384, 0.8866491518145878], [0.605278525954084, 0.1133446215201701, 0.605284457139426], [0.394721474045916, 0.8866553784798299, 0.394715542860574], [0.5960676745154885, 0.5960676745154885, 0.5960581907533467], [0.4039323254845115, 0.4039323254845115, 0.4039418092466533], [0.7463080472399, 0.7463080472399, 0.7463411703132721], [0.2536919527601, 0.2536919527601, 0.2536588296867279]]",[10.1021/acs.jpclett.8b00615]
3,Ac1H10,300.0,1.01,1098.0,3.3333478975590944,3.3333478975590944,3.3294010116945945,64.21540945502416,64.21540945502775,64.200469281334,11.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, 0.0, 0.0], [0.1147624037020663, 0.6064683206283092, 0.6070578676052065], [0.8852375962979337, 0.3935316793716908, 0.3929421323947935], [0.6068491210792857, 0.6068491210792857, 0.1146078081180235], [0.3931508789207143, 0.3931508789207143, 0.8853921918819765], [0.6064683206283092, 0.1147624037020663, 0.6070578676052065], [0.3935316793716908, 0.8852375962979337, 0.3929421323947935], [0.5973532843683174, 0.5973532843683174, 0.5971409267033323], [0.4026467156316826, 0.4026467156316826, 0.4028590732966677], [0.7423065410052629, 0.7423065410052629, 0.7429605020107175], [0.2576934589947371, 0.2576934589947371, 0.2570394979892825]]",[10.1021/acs.jpclett.8b00615]
4,Ac2H22,100.0,0.71,627.015,4.376050105842714,4.376050105842714,5.5499841593915376,89.60592421643493,90.39407578356509,126.15953209481812,24.0,2.0,"[""Ac"", "" Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.6432828483068889, 0.3567171516931111, 0.2583172600017463], [0.3567171516931111, 0.6432828483068889, 0.7416827399982537], [0.9876104969418336, 0.0123895030581664, 0.3375487210008643], [0.0123895030581664, 0.9876104969418336, 0.6624512789991357], [0.9518102133130384, 0.0481897866869616, 0.7980887826365759], [0.0481897866869616, 0.9518102133130384, 0.2019112173634241], [0.874312527166552, 0.7309473825452031, 0.9358991324877195], [0.1256874728334481, 0.2690526174547969, 0.0641008675122805], [0.7309473825452031, 0.874312527166552, 0.0641008675122805], [0.2690526174547969, 0.1256874728334481, 0.9358991324877195], [0.8451986856779143, 0.6455696287358208, 0.6060849277231739], [0.1548013143220857, 0.3544303712641792, 0.3939150722768261], [0.6455696287358208, 0.8451986856779143, 0.3939150722768261], [0.3544303712641792, 0.1548013143220857, 0.6060849277231739], [0.8310808083925565, 0.1689191916074435, 0.5483013460870083], [0.1689191916074435, 0.8310808083925565, 0.4516986539129917], [0.813055611569915, 0.5536091618124601, 0.8543977114997929], [0.186944388430085, 0.4463908381875399, 0.1456022885002071], [0.5536091618124601, 0.813055611569915, 0.1456022885002071], [0.4463908381875399, 0.186944388430085, 0.8543977114997929], [0.783246802829261, 0.216753197170739, 0.895881091232603], [0.216753197170739, 0.783246802829261, 0.104118908767397], [0.7442959700323328, 0.2557040299676672, 0.6336283192729439], [0.2557040299676672, 0.7442959700323328, 0.3663716807270561]]",[10.1103/PhysRevB.104.054501]
5,Ac1H12,150.0,1.97,697.0,3.83703684466345,3.83703684466345,3.83703684466345,121.16071304393463,121.16071304393462,88.00107467969616,13.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.0], [0.1217888759958967, 0.830727496271848, 0.2910613797240487], [0.8782111240041033, 0.1692725037281519, 0.7089386202759513], [0.5396661165477923, 0.830727496271848, 0.7089386202759513], [0.4603338834522077, 0.1692725037281519, 0.2910613797240487], [0.830727496271848, 0.5396661165477923, 0.7089386202759513], [0.1692725037281519, 0.4603338834522077, 0.2910613797240487], [0.830727496271848, 0.1217888759958967, 0.2910613797240487], [0.1692725037281519, 0.8782111240041033, 0.7089386202759513], [0.0, 0.7297418418880426, 0.7297418418880426], [0.0, 0.2702581581119574, 0.2702581581119574], [0.7297418418880426, 0.0, 0.7297418418880426], [0.2702581581119574, 0.0, 0.2702581581119574]]",[10.1021/acs.jpclett.8b00615]
6,Ac1H12,300.0,1.42,677.0,3.5717321344031068,3.5717321344031068,3.5717321344031068,121.40050235169916,121.40050235169912,87.59090618568635,13.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.0], [0.11728957600846, 0.826083944461999, 0.2912056315464682], [0.88271042399154, 0.173916055538001, 0.7087943684535318], [0.5348783129155237, 0.826083944461999, 0.7087943684535318], [0.4651216870844763, 0.173916055538001, 0.2912056315464682], [0.826083944461999, 0.5348783129155237, 0.7087943684535318], [0.173916055538001, 0.4651216870844763, 0.2912056315464682], [0.826083944461999, 0.11728957600846, 0.2912056315464682], [0.173916055538001, 0.88271042399154, 0.7087943684535318], [0.0, 0.7401242905452392, 0.7401242905452392], [0.0, 0.2598757094547608, 0.2598757094547608], [0.7401242905452392, 0.0, 0.7401242905452392], [0.2598757094547608, 0.0, 0.2598757094547608]]",[10.1021/acs.jpclett.8b00615]
7,Ac2H24,200.0,3.92,1110.53,3.8450248636193,3.8450248636193,5.606016496846679,90.0,90.0,119.99999701802813,26.0,2.0,"[""Ac"", "" Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.3333330000000032, 0.6666669999999968, 0.5143462401518093], [0.6666669999999968, 0.3333330000000032, 0.0143462401518093], [0.0, 0.0, 0.4577189047422721], [0.0, 0.0, 0.9577189047422721], [0.1312025371470753, 0.8687974628529318, 0.8062280704167151], [0.1312025371420518, 0.2624050742891271, 0.8062280704167151], [0.7375949257108729, 0.8687974628579482, 0.8062280704167151], [0.8687974628529318, 0.1312025371470753, 0.3062280704167151], [0.8687974628579482, 0.7375949257108729, 0.3062280704167151], [0.2624050742891271, 0.1312025371420518, 0.3062280704167151], [0.1813386728857225, 0.8186613271142775, 0.1797461542967795], [0.1813386728854667, 0.362677345771182, 0.1797461542967795], [0.637322654228818, 0.8186613271145333, 0.1797461542967795], [0.8186613271142775, 0.1813386728857225, 0.6797461542967795], [0.8186613271145333, 0.637322654228818, 0.6797461542967795], [0.362677345771182, 0.1813386728854667, 0.6797461542967795], [0.7673362484228861, 0.2326637515771139, 0.3982562164488144], [0.7673362484216639, 0.53467249684455, 0.3982562164488144], [0.46532750315545, 0.2326637515783361, 0.3982562164488144], [0.2326637515771139, 0.7673362484228861, 0.8982562164488144], [0.2326637515783361, 0.46532750315545, 0.8982562164488144], [0.53467249684455, 0.7673362484216639, 0.8982562164488144], [0.3333330000000032, 0.6666669999999968, 0.1270625042040336], [0.6666669999999968, 0.3333330000000032, 0.6270625042040336], [0.0, 0.0, 0.6034210274149601], [0.0, 0.0, 0.1034210274149601]]",[10.1103/PhysRevB.104.054501]
8,Ac1H16,150.0,2.16,1054.0,3.752609585533471,3.752609585533471,3.808036034447154,90.0,90.0,120.00000917130356,17.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.6666669999999968, 0.3333330000000032, 0.0], [0.1669832865696677, 0.8330167134303323, 0.2446014409861448], [0.1669832865727443, 0.3339655731424216, 0.2446014409861448], [0.6660344268575784, 0.8330167134272557, 0.2446014409861448], [0.1669832865696677, 0.8330167134303323, 0.7553985590138552], [0.1669832865727443, 0.3339655731424216, 0.7553985590138552], [0.6660344268575784, 0.8330167134272557, 0.7553985590138552], [0.3690313532916889, 0.2988587214672123, 0.5], [0.7011412785378255, 0.0701726318340476, 0.5], [0.9298273681704856, 0.6309686466987401, 0.5], [0.7011412785327877, 0.6309686467083111, 0.5], [0.9298273681659524, 0.2988587214621745, 0.5], [0.3690313533012599, 0.0701726318295144, 0.5], [0.0, 0.0, 0.1926937914570033], [0.0, 0.0, 0.8073062085429967], [0.3333330000000032, 0.6666669999999968, 0.2288415645838668], [0.3333330000000032, 0.6666669999999968, 0.7711584354161332]]",[10.1021/acs.jpclett.8b00615]
9,Ac1H16,250.0,1.34,1383.0,3.558441612705609,3.558441612705609,3.6008244476492504,90.0,90.0,120.00038542982988,17.0,2.0,"[""Ac"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.6666669999999968, 0.3333330000000032, -0.0], [0.1668336620019956, 0.8331663379980045, 0.2508785807847652], [0.16683366187921, 0.3336663238812153, 0.2508785807847652], [0.6663336761187848, 0.83316633812079, 0.2508785807847652], [0.1668336620019956, 0.8331663379980045, 0.7491214192152348], [0.16683366187921, 0.3336663238812153, 0.7491214192152348], [0.6663336761187848, 0.83316633812079, 0.7491214192152348], [0.3750914487024454, 0.3160654217694823, 0.5], [0.6839345792751633, 0.0590260249386367, 0.5], [0.9409739720223913, 0.624908553291881, 0.5], [0.6839345782305175, 0.6249085512975545, 0.5], [0.9409739750613634, 0.3160654207248367, 0.5], [0.3750914467081191, 0.0590260279776087, 0.5], [0.0, -0.0, 0.1975312672717572], [0.0, -0.0, 0.802468732728243], [0.3333330000000032, 0.6666669999999968, 0.2200869763504243], [0.3333330000000032, 0.6666669999999968, 0.7799130236495758]]",[10.1021/acs.jpclett.8b00615]
