ID,composition,pressure,a_expt,b_expt,c_expt,alpha_expt,beta_expt,gamma_expt,nat_expt,ntypat_expt,species_expt,xred_expt,a_comp,b_comp,c_comp,alpha_comp,beta_comp,gamma_comp,nat_comp,ntypat_comp,species_comp,xred_comp,Lambda_comp,omlog_comp,Tc_expt,mu,Tc_mml,Tc_elsb,anharmonicity,SOC,ref
1186,NbN,0.0,4.3767542839,4.3767542839,4.3767542839,90.0,90.0,90.0,8.0,2.0,"[""Nb"", ""Nb"", ""Nb"", ""Nb"", ""N"", ""N"", ""N"", ""N""]","[[0.5, 0.5, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0]]",,,,,,,,,,,0.98,269,"[14.7,16.0,17.3]",0.1,18.3,,,,"[10.1002/SIA.740150606,10.1063/5.0104968,10.1103/RevModPhys.35.1,10.1103/PhysRevB.108.064505]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.748,,[39.0],0.16,,50,,,"[10.1038/35065039,10.1103/PhysRevB.87.024505]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.595,,[39.0],0.12,,39,True,False,"[10.1038/35065039,10.1103/PhysRevB.79.094518]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.741,682.3,[39.0],0.1,27.12,,,,"[10.1038/35065039,10.1103/PhysRevB.82.165111]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.87,719.48,[39.0],0.1,39.65,,,,"[10.1038/35065039,10.1103/PhysRevB.64.020501]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.73,707.7,[39.0],0.1,27.15,,,,"[10.1038/35065039,10.1103/PhysRevLett.86.5771]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.73,727.6,[39.0],0.1,27.95,,False,,"[10.1038/35065039,10.1103/PhysRevB.66.020513]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.61,880.78,[39.0],0.1,21.17,,True,,"[10.1038/35065039,10.1103/PhysRevB.66.020513]"
1433,LaCuSb2,0.0,,,,,,,,,,,4.368999958,4.368999958,10.3760004044,90.0,90.0,90.0,8.0,3.0,"[""La"", ""La"", ""Cu"", ""Cu"", ""Sb"", ""Sb"", ""Sb"", ""Sb""]","[[0.25, 0.25, 0.750710011], [0.75, 0.75, 0.249290004], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.75, 0.25, 0.0], [0.25, 0.75, 0.0], [0.25, 0.25, 0.356640011], [0.75, 0.75, 0.643360019]]",0.465,103.5,[1.0],0.1,0.93,,,,[10.1103/PhysRevB.107.245117]
1747,ScAu2Al,0.0,6.5304999352,6.5304999352,6.5304999352,90.0,90.0,90.0,16.0,3.0,"[""Al"", ""Al"", ""Al"", ""Al"", ""Sc"", ""Sc"", ""Sc"", ""Sc"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",,,,,,,,,,,0.974,63.542,[5.12],0.1,6.411,,,True,"[10.1088/1361-648X/ac5651, 10.1103/PhysRevB.108.224501]"
