composition,ref,lambda_list,lambda_mean,lambda_std,omlog_list,omlog_mean,omlog_std,tc1com_mean,tc1exp_mean,tc1exp_std,tc2_elsb_mean,tc2_elsb_std,tc2exp_mean,tc2exp_std
NbN,"[10.1002/SIA.740150606,10.1063/5.0104968,10.1103/RevModPhys.35.1,10.1103/PhysRevB.108.064505]",[0.98],0.98,0.0,[269],269.0,0.0,18.15308792229598,16.0,1.0614455552060444,47.0,4.96655480858378,39.0,0.0
MgPd2Sb,[10.1103/PhysRevB.103.214501],0.611,0.611,0.0,89.2659,89.2659,0.0,2.155504919703456,2.2,0.0,241.5,5.5,224.0,0.0
Zn,"[10.1002/SIA.740150606,10.1103/RevModPhys.35.1,10.1103/PhysRevMaterials.7.054805]",0.39641096480973,0.39641096480973,0.0,114.300917385798,114.300917385798,0.0,0.4556747643961972,0.855,0.0,290.5,9.5,253.0,0.0
LaCuSb2,[10.1103/PhysRevB.107.245117],0.465,0.465,0.0,103.5,103.5,0.0,0.9277614284206965,1.0,0.0,,,,
ScAu2Al,"[10.1088/1361-648X/ac5651,10.1103/PhysRevB.108.224501]",0.974,0.974,0.0,63.542,63.542,0.0,4.246575652339376,5.12,0.0,,,,
Nb2N,"[10.3891/acta.chem.scand.30a-0219,10.1016/0022-3697(67)90129-1,10.1103/PhysRevB.108.064505]",0.57,0.57,0.0,306,306.0,0.0,5.958174917862176,10.35,1.75,,,,
Nb2N,"[10.1143/JJAP.4.353,10.1103/PhysRevMaterials.7.074803,10.1063/5.0142370,10.1103/PhysRevB.108.064505]",0.47,0.47,0.0,398,398.0,0.0,3.739696993512485,2.87,1.87,,,,
Nb3N4,"[10.1063/1.1663418,10.1103/PhysRevB.108.064505]",0.58,0.58,0.0,262,262.0,0.0,5.394907378448239,12.0,4.0,,,,
Nb4N5,"[10.1063/1.1663418,10.1039/A805315D,10.1103/PhysRevB.108.064505]",0.92,0.92,0.0,249,249.0,0.0,15.149327285010408,11.333333333333334,3.39934634239519,,,,
YH6,[10.1002/adma.202006832],[1.71],1.71,0.0,[1333],1333.0,0.0,170.52888118223018,224.0,0.0,,,,
H3S,"[0.1038/nature14964,10.1103/PhysRevLett.114.157004]","[1.84,2.64]",2.24,0.4,"[1077.176,1048.64]",1062.908,14.267999999999915,164.44649028024216,184.01639344262293,0.0,,,,
MgPd2Sb,"[10.1103/PhysRevB.103.214501,10.1088/1402-4896/ac9f86]","[0.6,0.611]",0.6054999999999999,0.005500000000000005,"[89.2659,200.703659688486]",144.984779844243,55.718879844243,3.4083109521563353,2.2,0.0,,,,
LaYH20,[10.1016/j.mattod.2021.03.025],[3.87],3.87,0.0,[868],868.0,0.0,172.27757934152305,253.0,0.0,,,,
