formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
H3S,130.0,[166.0],166.0,0.0,comput,['[10.1038/srep06968]']
H3S,200.0,[191.0],191.0,0.0,comput,['[10.1038/srep06968]']
H3S,300.0,['179.0'],179.0,0.0,comput,['[10.1038/srep06968]']
H3S,250.0,['184.0'],184.0,0.0,comput,['[10.1038/srep06968]']
H3S,225.9530791788856,['170.08196721311475'],170.08196721311475,0.0,expt,['10.1038/nature14964']
H3S,194.8680351906158,['190.1639344262295'],190.1639344262295,0.0,expt,['10.1038/nature14964']
H3S,154.98533724340174,['202.86885245901638'],202.8688524590164,0.0,expt,['10.1038/nature14964']
H3S,199.8533724340176,['184.01639344262293'],184.01639344262293,0.0,expt,['10.1038/nature14964']
H3S,205.71847507331373,['171.31147540983605'],171.31147540983605,0.0,expt,['10.1038/nature14964']
H3S,174.9266862170088,['189.75409836065572'],189.7540983606557,0.0,expt,['10.1038/nature14964']
H3S,175.80645161290323,['179.09836065573768'],179.09836065573768,0.0,expt,['10.1038/nature14964']
H3S,176.68621700879766,['185.24590163934425'],185.24590163934425,0.0,expt,['10.1038/nature14964']
H3S,145.01466275659823,['195.08196721311472'],195.08196721311472,0.0,expt,['10.1038/nature14964']
H3S,150.87976539589442,['190.1639344262295'],190.1639344262295,0.0,expt,['10.1038/nature14964']
H3S,182.84457478005865,"['175.8196721311475', '184.83606557377047']",180.327868852459,4.508196721311478,expt,"['10.1038/nature14964', '10.1038/nature14964']"
H3S,219.7947214076246,['171.31147540983605'],171.31147540983605,0.0,expt,['10.1038/nature14964']
H3S,189.88269794721407,['176.2295081967213'],176.2295081967213,0.0,expt,['10.1038/nature14964']
LaH10,300.0,"['215', '196']",205.5,9.5,comput,"['10.1073/pnas.1704505114', '10.1073/pnas.1704505114']"
LaH10,210.0,"['238', '219']",228.5,9.5,comput,"['10.1073/pnas.1704505114', '10.1073/pnas.1704505114']"
LaH10,350.0,"[248.7, 231.0, 175.5, 184.0, 122.0, 136.0]",182.86666666666667,45.839635930297504,comput,"['[10.1103/PhysRevB.104.174506]', '[10.1103/PhysRevB.104.174506]', '[10.1103/PhysRevB.104.174506]', '[10.1103/PhysRevB.104.174506]', '[10.1103/PhysRevB.104.174506]', '[10.1103/PhysRevB.104.174506]']"
LaH10,250.0,"['232', '212', 223.9]",222.63333333333333,8.213944782434861,comput,"['10.1073/pnas.1704505114', '10.1073/pnas.1704505114', '[10.1103/PhysRevB.102.144524]']"
LaH10,136.57142857142856,['242.99003322259136'],242.99003322259136,0.0,expt,['10.1038/s41586-019-1201-8']
LaH10,140.85714285714286,['244.98338870431894'],244.9833887043189,0.0,expt,['10.1038/s41586-019-1201-8']
LaH10,144.57142857142858,"['243.98671096345515', '247.7076411960133', '249.96677740863788', '250.9966777408638']",248.16445182724252,2.6894272533804857,expt,"['10.1038/s41586-019-1201-8', '10.1038/s41586-019-1201-8', '10.1038/s41586-019-1201-8', '10.1038/s41586-019-1201-8']"
LaH10,144.28571428571428,['246.74418604651163'],246.74418604651163,0.0,expt,['10.1038/s41586-019-1201-8']
LaH10,148.57142857142856,['246.578073089701'],246.578073089701,0.0,expt,['10.1038/s41586-019-1201-8']
