formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
CaBH2,100.0,[0.001],0.001,0.0,comput,['[10.1103/PhysRevB.104.174106]']
ScH9,400.0,[183.1],183.1,0.0,comput,['[10.1103/PhysRevLett.119.107001]']
CeH18,300.0,['223'],223.0,0.0,comput,['[10.1021/jacs.2c05834]']
CeH18,400.0,"['312', '285']",298.5,13.5,comput,"['[10.1021/jacs.2c05834]', '[10.1021/jacs.2c05834]']"
CeH18,500.0,['240'],240.0,0.0,comput,['[10.1021/jacs.2c05834]']
CeH18,600.0,"['216', '285']",250.5,34.5,comput,"['[10.1021/jacs.2c05834]', '[10.1021/jacs.2c05834]']"
CeH18,350.0,['329'],329.0,0.0,comput,['[10.1021/jacs.2c05834]']
LiYH9,250.0,['109'],109.0,0.0,comput,['[10.1039/D2CP00059H]']
LiYH9,150.0,['22'],22.0,0.0,comput,['[10.1039/D2CP00059H]']
SbH4,200.0,[102.3],102.3,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH4,250.0,[99.9],99.9,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH4,300.0,[93.9],93.9,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH4,150.0,[102.2],102.2,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
MgGeH6,200.0,[66.6],66.6,0.0,comput,['[10.1039/C7CP05267G]']
MgGeH6,250.0,[59.05],59.05,0.0,comput,['[10.1039/C7CP05267G]']
MgGeH6,300.0,[50.29],50.29,0.0,comput,['[10.1039/C7CP05267G]']
YHZr3,0.0,['11.56'],11.56,0.0,comput,['[10.1038/s41524-022-00817-4]']
ZnHZr3,0.0,['3.23'],3.23,0.0,comput,['[10.1038/s41524-022-00817-4]']
KH20,500.0,['283'],283.0,0.0,comput,['[10.1021/acs.inorgchem.2c02686]']
AgHZr3,0.0,['6.24'],6.24,0.0,comput,['[10.1038/s41524-022-00817-4]']
