material,year,pressure,Tc,class,ref
Hg,1911,0,4.15,conventional,Heike Kamerlingh Onnes
Pb,1913,0,7.19,conventional,Heike Kamerlingh Onnes
Nb,1930,0,9.26,conventional,Willem Hendrik Keesom and Kees van Laer
NbN,1941,0,16.0,conventional,Bell Telephone Laboratories
V3Si,1953,0,17.0,conventional,10.1103/PhysRev.89.884
Tc,1953,0,11.2,conventional,10.1103/PhysRev.92.507
Nb3Sn,1954,0,18.3,conventional,10.1103/PhysRev.95.1435
Nb3Ge,1973,0,23.2,conventional,10.1063/1.1654966
(TMTSF)2PF6,1979,1.1,0.9,organic,"10.1051/jphyslet:0198000410409500"
(BEDT-TTF)2ReO4,1983,0.4,2,organic,"10.1103/PhysRevLett.50.270"
LaBaCuO,1986,0,30,cuprate,10.1007/BF01303701
LaSrCuO,1987,0,36,cuprate,"10.1103/PhysRevB.36.4011, 10.1103/PhysRevLett.58.408"
YBaCuO,1987,0,93,cuprate,10.1103/PhysRevLett.58.908
BiCaSrCuO,1988,0,120,cuprate,10.1103/PhysRevLett.60.1174
BKBO,1988,0,30.0,conventional,10.1038/332814a0
κ-(ET)2Cu(NCS)2,1988,0,10.4,organic,10.1016/0921-4534(88)90218-3
TlBaCaCuO,1988,0,127,cuprate,10.1038/332138a0
TlBaCuO,1988,0,90,cuprate,10.1103/PhysRevLett.60.937
κ-(ET)2Cu[N(CN)2]Br,1990,0,11.6,organic,10.1021/ic00339a004
C60Cs2Rb,1991,0,33.0,organic,10.1038/352222a0
C60K3,1991,0,18,organic,10.1038/350600a0
C60Rb3,1991,0,33,organic,10.1126/science.252.5009.1154
HgBaCaCuO,1993,0,133,cuprate,10.1038/363056a0
HgBaCaCuO,1993,15,153,cuprate,10.1038/365323a0
HgBaCuO,1993,0,94,cuprate,10.1038/362226a0
HgTlBaCaCuO,1994,0,115,cuprate,"patent, US5492885A"
κL-(BEDT-TTF)2Cu(CF3)4·TCE,1994,0,4,organic,10.1039/C39940001599
β''-(ET)2SF5CH2CF2SO3,1997,0,5.2,organic,10.1021/ja962188l
MgB2,2001,0,39.0,conventional,10.1038/35065039
SiH4,2008,90,17.5,hydride,10.1126/science.1153282
FeSe,2008,0,8,iron,10.1073/pnas.0807325105
LaFeAsO,2008,0,26,iron,10.1021/ja800073m
SmFeAsO,2009,0,56,iron,10.1088/0953-8984/21/14/142203
FeSe/STO,2014,0,100,iron,10.1038/nmat4153
H3S,2015,155,203,hydride,10.1038/nature14964
LaH10,2019,170,250,hydride,10.1038/s41586-019-1201-8
ThH10,2020,174,161,hydride,10.1016/j.mattod.2019.10.005
PrH9,2020,120,8.4,hydride,10.1126/sciadv.aax6849
BaH12,2021,140,20,hydride,10.1038/s41467-020-20103-5
LaYH10,2021,199,253,hydride,10.1016/j.mattod.2021.03.025
YH6,2021,168,224,hydride,10.1002/adma.202006832
YH6,2021,183,220,hydride,10.1038/s41467-021-25372-2
YH9,2021,201,243,hydride,10.1038/s41467-021-25372-2
CeH9,2021,88,57,hydride,10.1103/PhysRevLett.127.117001
CeH10,2021,95,115,hydride,10.1103/PhysRevLett.127.117001
CaH6,2022,172,215,hydride,10.1103/PhysRevLett.128.167001
CaH6,2022,160,210,hydride,10.1038/s41467-022-30454-w
SnH4,2023,180,72,hydride,10.1002/advs.202303622
LaCeH10,2024,155,175,hydride,10.1088/1361-648X/ad0915
YCeH9,2024,130,141,hydride,10.1038/s41467-024-46133-x
